utmx utmy Watershednum elevation aspect slope
278105 4866105 7 709 333.4349 6.37937
278115 4866105 7 709 353.6598 6.457954
278125 4866105 7 709 344.7449 8.111279
278135 4866105 7 710 344.7449 8.111279
278145 4866105 7 710 348.6901 7.264627
278155 4866105 7 710 344.7449 8.111279
278165 4866105 7 711 350.5377 8.64667
278175 4866105 7 711 350.5377 8.64667
278185 4866105 7 711 341.5651 8.984877
278195 4866105 7 712 347.0054 9.468127
278205 4866105 7 712 351.8699 10.02499
278215 4866105 7 712 355.6013 9.256682
278225 4866105 7 712 347.0054 9.468127
278235 4866105 7 713 348.6901 10.82504
278245 4866105 7 713 356.1859 10.64269
278255 4866105 7 713 347.0054 9.468127
278265 4866105 7 714 347.0054 9.468127
278275 4866105 7 714 356.1859 10.64269
278285 4866105 7 714 0 11.30993
278295 4866105 7 714 356.1859 10.64269
278805 4866105 9 698 15.9454 10.31508
278815 4866105 9 698 7.125016 11.39565
278825 4866105 9 698 356.9872 13.37805
278835 4866105 9 698 343.3008 14.62828
278845 4866105 9 699 338.1986 15.06996
278855 4866105 9 700 339.7751 14.2036
278865 4866105 9 701 337.6199 12.94241
278875 4866105 9 702 333.4349 12.60438
278885 4866105 9 703 345.9637 11.64863
278895 4866105 9 703 0 11.30993
278905 4866105 9 703 345.9637 11.64863
278915 4866105 9 704 345.9637 11.64863
278925 4866105 9 704 0 11.30993
278935 4866105 9 704 0 11.30993
278945 4866105 9 704 356.6335 12.01703
278955 4866105 9 704 356.9872 13.37805
278965 4866105 9 704 0 14.03624
278975 4866105 9 704 354.2894 14.10346
278985 4866105 9 705 354.2894 14.10346
278995 4866105 9 705 0 14.03624
279005 4866105 9 705 354.2894 14.10346
279015 4866105 9 705 348.6901 14.30291
279025 4866105 9 706 348.6901 14.30291
279035 4866105 9 706 338.1986 15.06996
279045 4866105 9 708 329.9314 15.34595
279055 4866105 9 709 332.1027 13.51969
279065 4866105 9 710 337.6199 12.94241
277695 4866115 7 726 45 8.049467
277705 4866115 7 725 45 7.054132
277715 4866115 7 724 33.69007 5.150652
277725 4866115 7 724 35.53768 6.13738
277735 4866115 7 723 45 8.049467
277745 4866115 7 722 45 8.049467
277755 4866115 7 721 45 7.054132
277765 4866115 7 720 33.69007 5.150652
277775 4866115 7 720 35.53768 6.13738
277785 4866115 7 719 45 7.054132
277795 4866115 7 718 33.69007 5.150652
277805 4866115 7 718 35.53768 6.13738
277815 4866115 7 717 35.53768 6.13738
277825 4866115 7 717 33.69007 5.150652
277835 4866115 7 716 45 7.054132
277845 4866115 7 715 26.56505 6.37937
277855 4866115 7 715 26.56505 6.37937
277865 4866115 7 714 45 8.049467
277875 4866115 7 713 45 8.049467
277885 4866115 7 712 29.0546 7.333393
277895 4866115 7 712 21.80141 7.667577
277905 4866115 7 711 37.87498 8.111279
277915 4866115 7 710 26.56505 6.37937
277925 4866115 7 710 18.43495 6.762861
277935 4866115 7 709 21.80141 7.667577
277945 4866115 7 709 6.340192 6.457954
277955 4866115 7 709 0 5.710593
277965 4866115 7 709 18.43495 6.762861
277975 4866115 7 708 21.80141 7.667577
277985 4866115 7 708 6.340192 6.457954
277995 4866115 7 708 0 5.710593
278005 4866115 7 708 0 5.710593
278015 4866115 7 708 0 5.710593
278025 4866115 7 708 0 5.710593
