"s.index","long","lat","merge.index"
589,-75.8464,41.2658,-3.12986237312
590,-75.7861,42.7306,-3.23838552466
591,-75.7833,39.3028,-2.97849588324
592,-75.7678,39.8344,-3.01816485232
593,-75.7308,39.5511,-2.99523644388
594,-75.7217,43.3047,-3.27910550199
595,-75.6231,41.4428,-3.13403300868
596,-75.6131,38.6444,-2.92202288164
597,-75.5781,41.4789,-3.13489645209
598,-75.5639,39.8172,-3.00874291908
599,-75.5556,38.9847,-2.94551239932
600,-75.4964,39.7739,-3.00278626396
601,-75.4325,40.612,-3.06346469
602,-75.3725,39.8356,-3.002508761
603,-75.3411,40.6281,-3.06096574491
604,-75.3283,41.0831,-3.09472008173
605,-75.3092,40.1122,-3.02081769224
606,-75.2372,40.6922,-3.06156718984
607,-75.2183,39.7992,-2.99362816536
608,-75.19,44.8897,-3.375256543
609,-75.1667,38.7833,-2.91521267611
610,-75.1595,38.2511,-2.87493355045
611,-75.0978,40.0092,-3.00460289976
612,-75.0258,39.4222,-2.95768209276
613,-75.0108,40.0767,-3.00618532836
614,-74.9864,43.6855,-3.2758183772
615,-74.8822,40.1072,-3.00331537184
616,-74.8728,40.3125,-3.01830975
617,-74.8569,39.6739,-2.96986516491
618,-74.8067,40.515,-3.0307934505
619,-74.7467,40.2828,-3.01100636676
620,-74.6953,44.9806,-3.35983941118
621,-74.6775,40.7872,-3.045886128
622,-74.515,43.4556,-3.238094034
623,-74.5147,42.1378,-3.13988552566
624,-74.4489,39.4647,-2.93810350383
625,-74.4456,40.0653,-2.98268529768
626,-74.4256,40.4733,-3.01224963648
627,-74.2581,41.0522,-3.04845837282
628,-74.22,43.97,-3.2634534
629,-74.215,41.5231,-3.0816368665
630,-74.193,40.7211,-3.0212205723
631,-74.1258,40.6708,-3.01475558664
632,-74.0053,40.2783,-2.98080767499
633,-73.9481,40.8197,-3.01853925757
634,-73.9403,42.7997,-3.16462265791
635,-73.9017,44.3647,-3.27862674999
636,-73.8781,40.8678,-3.01923541518
637,-73.8244,40.7375,-3.007421495
638,-73.7642,41.0522,-3.02818269124
639,-73.7555,42.6769,-3.14765609795
640,-73.7103,41.4561,-3.05574156783
641,-73.6947,41.7856,-3.07937725632
642,-73.6492,43.0122,-3.16781412024
643,-73.4636,42.7819,-3.14291238884
644,-73.4447,41.4014,-3.04071340258
645,-73.4061,40.7356,-2.99024152716
646,-73.3033,41.8331,-3.06650427923
647,-73.2497,42.8875,-3.14149650875
648,-73.1678,42.6367,-3.11963353826
649,-73.0575,40.8278,-2.9827769985
650,-72.9028,41.3011,-3.01096583308
651,-72.8522,44.5283,-3.24398461726
652,-72.715,40.9617,-2.9785300155
653,-72.6308,41.5519,-3.01794773852
654,-72.6297,41.7847,-3.03481022559
655,-72.5556,42.1944,-3.06144000864
656,-72.5236,42.4006,-3.07504415416
657,-72.3867,41.9756,-3.03847516452
658,-72.3344,42.2983,-3.05962215152
659,-72.3103,43.6275,-3.15471761325
660,-72.2778,42.9306,-3.10292932068
661,-72.0789,41.3536,-2.98072199904
662,-72.0097,41.84,-3.012885848
663,-71.8789,42.862,-3.0808734118
664,-71.8758,42.2742,-3.03849194436
665,-71.7197,41.615,-2.9846153155
666,-71.7008,43.945,-3.150891656
667,-71.62,42.0997,-3.015180514
668,-71.5153,43.2186,-3.09079114458
669,-71.4958,43.5653,-3.11473597574
670,-71.4858,42.4136,-3.03197012688
671,-71.4628,42.9953,-3.07256452484
672,-71.445,42.7019,-3.0508372455
673,-71.3622,42.6267,-3.04193509074
674,-71.3617,41.8403,-2.98579493651
675,-71.3025,44.2783,-3.15715348575
676,-71.29,44.37,-3.1631373
677,-71.1144,42.2117,-3.00185971848
678,-71.1028,42.7708,-3.04112363824
679,-71.0825,42.3294,-3.0088795755
680,-70.972,42.4747,-3.0145144084
681,-70.8797,41.6356,-2.95111883732
682,-70.8772,43.5889,-3.08945918308
683,-70.8555,44.2222,-3.1333860921
684,-70.7858,41.3306,-2.92561958548
685,-70.7619,43.0825,-3.04859955675
686,-70.7458,43.0022,-3.04222504076
687,-70.6203,43.6267,-3.08093064201
688,-70.4714,43.3431,-3.05444893734
